id,type,name,th,region,confidence,updated,sources
"ainu-anchi-piri","tradition","Ainu anchi-piri","","east-asia","medium","2026-09-19","s:wp-ainu-people s:wp-irezumi"
"amazigh-marks","tradition","Amazigh marks","","north-africa","low","2026-09-19","s:wp-berbers"
"atayal-ptasan","tradition","Atayal ptasan","","east-asia","medium","2026-09-19","s:wp-atayal-people s:wp-taiwanese-indigenous-peoples"
"batok","tradition","Batok","","island-southeast-asia","high","2026-09-19","s:wp-batok s:wp-whang-od s:wp-kalinga-province"
"chin-ming","tradition","Chin facial tattooing","","mainland-southeast-asia south-asia","medium","2026-09-19","s:wp-chin-people s:wp-tattooing-in-myanmar s:gazetteer-1 s:gazetteer-3"
"coptic-pilgrim","tradition","The pilgrim's cross","","west-asia north-africa","medium","2026-09-19","s:wp-razzouk-tattoo s:wp-copts"
"deq","tradition","Deq","","west-asia","medium","2026-09-19","s:wp-deq-tattoo s:wp-kurds"
"derung-face","tradition","Derung face marks","","east-asia","low","2026-09-19","s:wp-derung-people"
"godna","tradition","Godna","","south-asia","medium","2026-09-19","s:wp-godna s:wp-munda-people"
"hajichi","tradition","Hajichi","","east-asia","medium","2026-09-19","s:wp-irezumi s:wp-meiji-era"
"hlai-marks","tradition","Hlai women's marks","","east-asia","low","2026-09-19","s:wp-hlai-people s:wp-hainan s:wp-yantra-tattooing"
"htoe-kwin","tradition","Htoe kwin","","mainland-southeast-asia","high","2026-09-19","s:shway-yoe s:wp-tattooing-in-myanmar s:gazetteer-2 s:milne-shans"
"iban-borneo","tradition","Iban tattooing","","island-southeast-asia","medium","2026-09-19","s:wp-iban-people s:hose-borneo-2"
"irezumi","tradition","Irezumi","","east-asia","high","2026-09-19","s:wp-irezumi s:wp-horimono s:wp-yakuza"
"kakiniit","tradition","Kakiniit","","arctic","high","2026-09-19","s:wp-kakiniit s:wp-inuit"
"kalinga-cordillera","tradition","Cordilleran whatok","","island-southeast-asia","high","2026-09-19","s:wp-batok s:wp-kalinga-people s:wp-bontoc-people"
"kayan-borneo","tradition","Kayan tattooing","","island-southeast-asia","medium","2026-09-19","s:wp-kayan-people-borneo s:hose-borneo-2"
"konyak-naga","tradition","Konyak marks","","south-asia mainland-southeast-asia","medium","2026-09-19","s:wp-konyak-naga s:wp-naga-people"
"marquesan-patutiki","tradition","Patutiki","","oceania","medium","2026-09-19","s:handy-marquesas s:wp-marquesas-islands"
"mentawai-titi","tradition","Mentawai titi","","island-southeast-asia","low","2026-09-19","s:wp-mentawai-people"
"sak-kha-lai","tradition","Sak kha lai","สักขาลาย","lanna mainland-southeast-asia","medium","2026-09-19","s:ms6968 s:corpus s:thwp-ล-านนา s:milne-shans"
"sak-yant","tradition","Sak yant","สักยันต์","mainland-southeast-asia lanna","high","2026-09-19","s:wp-yantra-tattooing s:ms6968 s:sycm s:thwp-การส-กย-นต-"
"shan-tattooing","tradition","Shan leg tattooing","การสักของไทใหญ่","lanna mainland-southeast-asia","high","2026-09-19","s:milne-shans s:shway-yoe s:gazetteer-2 s:ms6968"
"sicanje","tradition","Sicanje","","europe","high","2026-09-19","s:wp-sicanje s:wp-croats-of-bosnia-and-herzegovina"
"stick-and-poke","tradition","Stick and poke","","worldwide","high","2026-09-19","s:wp-stick-and-poke s:wp-prison-tattooing s:wp-russian-criminal-tattoos"
"ta-moko","tradition","Tā moko","","oceania","high","2026-09-19","s:wp-t-moko s:wp-m-ori-people"
"tatau","tradition","Tatau","","oceania","high","2026-09-19","s:wp-pe-a s:turner-samoa"
"veiqia","tradition","Veiqia","","oceania","high","2026-09-19","s:wp-veiqia s:wp-fiji"
"cut","method","Cut","กรีด","worldwide","high","2026-09-19","s:wp-t-moko s:wp-batok s:wp-scarification"
"machine","method","Machine","เครื่องสัก","worldwide","high","2026-09-19","s:wp-tattoo-machine s:wp-samuel-oreilly"
"poke","method","Poke","แทง","worldwide","high","2026-09-19","s:shway-yoe s:wp-stick-and-poke"
"stitch","method","Stitch","ร้อยด้าย","worldwide","high","2026-09-19","s:wp-kakiniit"
"tap","method","Tap","ตอก","worldwide","high","2026-09-19","s:wp-batok s:wp-pe-a"
"au","tool","Au","","oceania","high","2026-09-19","s:wp-pe-a"
"design-block","tool","The design block","","island-southeast-asia west-asia mainland-southeast-asia","medium","2026-09-19","s:shway-yoe s:wp-razzouk-tattoo s:wp-iban-people"
"gisi-pat-ik","tool","Gisi and pat-ik","","island-southeast-asia","high","2026-09-19","s:wp-batok"
"hnitkwasok","tool","Hnitkwasok","","mainland-southeast-asia","high","2026-09-19","s:shway-yoe s:wp-tattooing-in-myanmar"
"khem-sak","tool","Khem sak","เข็มสัก","mainland-southeast-asia","medium","2026-09-19","s:wp-yantra-tattooing s:sycm s:shway-yoe"
"lek-char","tool","Lek char","เหล็กจาร","lanna mainland-southeast-asia","medium","2026-09-19","s:corpus s:ms6968 s:thwp-อ-กษรธรรมล-านนา"
"needle-and-sinew","tool","Needle and sinew","","arctic","high","2026-09-19","s:wp-kakiniit"
"nomi","tool","Nomi","","east-asia","medium","2026-09-19","s:wp-irezumi s:wp-horimono"
"uhi","tool","Uhi","","oceania","high","2026-09-19","s:wp-t-moko"
"awheto-ngarehu","ink","Awheto and ngarehu","","oceania","high","2026-09-19","s:wp-t-moko"
"indigo","ink","Indigo","คราม","east-asia mainland-southeast-asia","medium","2026-09-19","s:wp-irezumi s:wp-ainu-people s:wp-indigo-dye s:wp-tattooing-in-myanmar"
"lampblack","ink","Lampblack","เขม่าตะเกียง","mainland-southeast-asia","high","2026-09-19","s:shway-yoe s:wp-tattooing-in-myanmar s:milne-shans s:wp-soot"
"nara-ink","ink","Nara ink","","east-asia","medium","2026-09-19","s:wp-irezumi"
"pen-ink","ink","Pen ink","","worldwide","high","2026-09-19","s:wp-stick-and-poke s:wp-tattoo-ink"
"soot-honey","ink","Soot and honey","","europe","medium","2026-09-19","s:wp-sicanje"
"soot-milk","ink","Soot and milk","","west-asia","low","2026-09-19","s:wp-deq-tattoo"
"soot-water","ink","Soot and water","","worldwide","high","2026-09-19","s:wp-batok s:wp-tzi s:wp-sicanje s:wp-deq-tattoo s:wp-carbon-black"
"vermilion","ink","Vermilion","ชาด","mainland-southeast-asia","high","2026-09-19","s:shway-yoe s:wp-cinnabar s:wp-vermilion s:wp-tattooing-in-myanmar"
"bungai-terung","motif","The aubergine flower","","island-southeast-asia","medium","2026-09-19","s:wp-iban-people"
"cat-monkey","motif","Cats and monkeys","","mainland-southeast-asia","medium","2026-09-19","s:shway-yoe s:wp-tattooing-in-myanmar"
"chin-grid","motif","The face grids","","mainland-southeast-asia","medium","2026-09-19","s:wp-chin-people"
"framed-animal","motif","The framed animal","","mainland-southeast-asia","medium","2026-09-19","s:shway-yoe"
"gayaman","motif","The centipede","","island-southeast-asia","medium","2026-09-19","s:wp-batok"
"hanuman","motif","Hanuman","","mainland-southeast-asia","medium","2026-09-19","s:wp-yantra-tattooing"
"moko-kauae","motif","Moko kauae","","oceania","medium","2026-09-19","s:wp-t-moko"
"mystic-square","motif","The lettered square","","lanna","medium","2026-09-19","s:ms6968"
"pilgrim-cross","motif","The pilgrim's cross","","west-asia","medium","2026-09-19","s:wp-razzouk-tattoo"
"sedna-hands","motif","Sedna's hands","","arctic","medium","2026-09-19","s:wp-kakiniit"
"khan-tang","rite","Khan tang","ขันตั้ง","lanna","high","2026-09-19","s:ms6968 s:sycm"
"kho-ham","rite","The rules","ข้อห้าม","mainland-southeast-asia","high","2026-09-19","s:wp-yantra-tattooing"
"the-pain","rite","Bearing it","","worldwide","high","2026-09-19","s:shway-yoe s:milne-shans s:wp-tattooing-in-myanmar s:wp-pe-a s:ms6968"
"the-timing","rite","When it is done","","worldwide","high","2026-09-19","s:wp-tattooing-in-myanmar s:milne-shans s:wp-ainu-people s:wp-atayal-people"
"who-holds-you","rite","Who holds you still","","worldwide","high","2026-09-19","s:wp-pe-a s:wp-veiqia s:shway-yoe s:milne-shans"
"ajarn-dang-sak","person","Ajarn Dang and Ajarn Sak","อาจารย์แดง และ อาจารย์เสก","lanna","high","2026-09-19","s:sycm s:field-sycm"
"hovak-johnston","person","Hovak Johnston","","arctic","medium","2026-09-19","s:wp-kakiniit"
"milne-shans","person","Leslie Milne","","lanna mainland-southeast-asia","high","2026-09-19","s:milne-shans"
"rabali","person","Rabali","","oceania","high","2026-09-19","s:wp-veiqia"
"saya-chein","person","Saya Chein","","mainland-southeast-asia","medium","2026-09-19","s:shway-yoe"
"shway-yoe","person","Shway Yoe","","mainland-southeast-asia","high","2026-09-19","s:shway-yoe s:gazetteer-1"
"sulu-ape","person","The Sulu'ape line","","oceania","high","2026-09-19","s:wp-pe-a"
"truhelka-gluck","person","Truhelka and Glück","","europe","high","2026-09-19","s:wp-sicanje"
"whang-od","person","Whang-od Oggay","","island-southeast-asia","high","2026-09-19","s:wp-whang-od s:wp-whang-od-academy"
"buscalan","place","Buscalan","","island-southeast-asia","medium","2026-09-19","s:wp-tinglayan s:wp-kalinga-province"
"chiang-mai","place","Chiang Mai","เชียงใหม่","lanna","high","2026-09-19","s:thwp-จ-งหว-ดเช-ยงใหม- s:wp-chiang-mai s:wp-lan-na"
"kengtung","place","Kengtung","","lanna mainland-southeast-asia","medium","2026-09-19","s:wp-kengtung s:wp-khuen-people"
"mandalay","place","Mandalay","","mainland-southeast-asia","high","2026-09-19","s:wp-mandalay s:shway-yoe"
"ukok","place","The Ukok Plateau","","siberia","high","2026-09-19","s:wp-siberian-ice-maiden s:wp-pazyryk-culture"
"wat-phumin","place","Wat Phumin","วัดภูมินทร์","lanna","medium","2026-09-19","s:thwp-ว-ดภ-ม-นทร- s:wp-wat-phumin s:ms6968"
"anchi-piri","term","anchi-piri","","east-asia","medium","2026-09-19","s:wp-ainu-people"
"batok-word","term","batok","","island-southeast-asia","medium","2026-09-19","s:wp-batok"
"deq-word","term","deq","","west-asia","medium","2026-09-19","s:wp-deq-tattoo"
"godna-word","term","godna","","south-asia","medium","2026-09-19","s:wp-godna"
"hajichi-word","term","hajichi","","east-asia","medium","2026-09-19","s:wp-irezumi"
"htoe-kwin-word","term","htoe kwin","","mainland-southeast-asia","medium","2026-09-19","s:wp-tattooing-in-myanmar"
"irezumi-word","term","irezumi","","east-asia","medium","2026-09-19","s:wp-irezumi"
"kakiniq","term","kakiniq","","arctic","medium","2026-09-19","s:wp-kakiniit"
"lao-phung-dam","term","lao phung dam","ลาวพุงดำ","lanna","medium","2026-09-19","s:ms6968"
"ming","term","ming","","mainland-southeast-asia","medium","2026-09-19","s:wp-chin-people"
"moko","term","moko","","oceania","medium","2026-09-19","s:wp-t-moko"
"ptasan","term","ptasan","","east-asia","medium","2026-09-19","s:wp-atayal-people"
"sak-kha-lai-word","term","sak kha lai","สักขาลาย","lanna","medium","2026-09-19","s:ms6968"
"sak","term","sak","สัก","mainland-southeast-asia","medium","2026-09-19","s:wp-yantra-tattooing"
"sicanje-word","term","sicanje","","europe","medium","2026-09-19","s:wp-sicanje"
"tatau-word","term","tatau","","oceania","medium","2026-09-19","s:wp-pe-a s:wp-james-cook"
"tua-mueang","term","tua mueang","ᨲᩫ᩠ᩅᨾᩮᩬᩨᨦ","lanna","medium","2026-09-19","s:thwp-อ-กษรธรรมล-านนา s:wp-tai-tham-script"
"veiqia-word","term","veiqia","","oceania","medium","2026-09-19","s:wp-veiqia"
"body","story","Where the marks go","","worldwide","medium","2026-09-19","s:wp-chin-people s:wp-atayal-people s:wp-irezumi"
"chin-ban","story","The Chin ban","","mainland-southeast-asia","high","2026-09-19","s:wp-chin-people s:wp-tattooing-in-myanmar"
"clothing","story","The tattoo is clothing","","worldwide","high","2026-09-19","s:shway-yoe s:ms6968 s:wp-batok s:wp-pe-a"
"cook-1769","story","How the word got in","","oceania","medium","2026-09-19","s:wp-james-cook s:wp-pe-a s:wp-joseph-banks"
"coverage","story","Who gets written about","","worldwide","high","2026-09-19","s:langlinks"
"exhibited","story","Exhibited","","europe the-americas","medium","2026-09-19","s:wp-human-zoo s:wp-sideshow s:wp-sailor-tattoo"
"legs","story","The leg-tattoo zone","เขตลายขา","lanna mainland-southeast-asia","medium","2026-09-19","s:shway-yoe s:milne-shans s:ms6968 s:gazetteer-2 s:wp-lan-na"
"meiji-ban","story","Japan outlaws it","","east-asia","high","2026-09-19","s:wp-irezumi s:wp-meiji-era s:wp-atayal-people"
"pintados","story","The painted ones","","island-southeast-asia","high","2026-09-19","s:wp-batok"
"revival","story","Stopped, and started again","","worldwide","high","2026-09-19","s:wp-veiqia s:wp-kakiniit s:wp-t-moko"
"timeline","story","Five thousand years","","worldwide","high","2026-09-19","s:wp-tzi s:wp-gebelein-predynastic-mummies s:wp-chinchorro-mummies"
"tohunga-act","story","The Tohunga Suppression Act","","oceania","high","2026-09-19","s:wp-t-moko"
"words","story","What the word means first","","worldwide","high","2026-09-19","s:wp-yantra-tattooing s:wp-kakiniit s:wp-batok s:wp-t-moko s:wp-deq-tattoo"
"arku-cave","find","The Arku Cave tools","","island-southeast-asia","medium","2026-09-19","s:wp-batok"
"chinchorro-man","find","Chinchorro Mo-1 T28 C22","","the-americas","high","2026-09-19","s:wp-chinchorro-mummies"
"cordilleran-mummies","find","The Cordilleran mummies","","island-southeast-asia","medium","2026-09-19","s:wp-batok"
"gebelein","find","The Gebelein mummies","","north-africa","high","2026-09-19","s:wp-gebelein-predynastic-mummies s:wp-amunet"
"ice-maiden","find","The Ukok woman","","siberia","high","2026-09-19","s:wp-siberian-ice-maiden s:wp-pazyryk-culture"
"otzi","find","Ötzi","","europe","high","2026-09-19","s:wp-tzi"
"qilakitsoq","find","The Qilakitsoq women","","arctic","medium","2026-09-19","s:wp-kakiniit s:wp-mummy"
"murals","art","The murals","จิตรกรรมฝาผนัง","lanna","medium","2026-09-19","s:ms6968 s:thwp-จ-ตรกรรมฝาผน-ง s:wp-wat-phumin"
"sample-book","art","The sample book","","mainland-southeast-asia","high","2026-09-19","s:shway-yoe"
"stencils","art","The stencil book","แบบสักยันต์สำหรับลอกลาย","mainland-southeast-asia","high","2026-09-19","s:corpus"
"sak-yant-chiang-mai","org","Sak Yant Chiang Mai","สักยันต์เชียงใหม่","lanna","high","2026-09-19","s:sycm"
"veiqia-project","org","The Veiqia Project","","oceania","high","2026-09-19","s:wp-veiqia"
"wichaa","org","wichaa.net","วิชา","lanna","high","2026-09-19","s:corpus"
"the-needle-now","issue","The needle now","","worldwide","high","2026-09-19","s:shway-yoe s:milne-shans s:wp-sterilization-microbiology"
"the-photographs","issue","The photographs","","worldwide","high","2026-09-19","s:wp-human-zoo s:commons"
"what-counts","issue","What counts as hand-poked","","worldwide","high","2026-09-19","s:wp-batok s:wp-t-moko s:wp-stick-and-poke"
"who-wrote-it-down","issue","Who wrote it down","","worldwide","high","2026-09-19","s:shway-yoe s:gazetteer-3 s:wp-sicanje s:wp-salvage-ethnography"
"whose-designs","issue","Whose designs","","worldwide","high","2026-09-19","s:wp-batok s:wp-whang-od s:wp-cultural-appropriation"
